date,description,deposit,withdrawal,account_id,net_change,rolling_balance
01-01-2019,Sales sweep deposit,4726.44,0,CHK-001,4726.44,79726.44
01-01-2019,Store & warehouse rent,0,18500,CHK-001,-18500,61226.44
02-01-2019,Misc operating expense,0,486.05,CHK-001,-486.05,60740.39
03-01-2019,Payroll,0,11758.92,CHK-001,-11758.92,48981.47
04-01-2019,Sales sweep deposit,4102.04,0,CHK-001,4102.04,53083.51
08-01-2019,Sales sweep deposit,4474.33,0,CHK-001,4474.33,57557.84
10-01-2019,Utilities (power/water/internet),0,2034.7,CHK-001,-2034.7,55523.14
11-01-2019,Sales sweep deposit,4447.37,0,CHK-001,4447.37,59970.51
14-01-2019,Misc operating expense,0,1088.76,CHK-001,-1088.76,58881.75
15-01-2019,Inventory supplier payment,0,8690.8,CHK-001,-8690.8,50190.95
15-01-2019,Sales sweep deposit,4883.8,0,CHK-001,4883.8,55074.75
17-01-2019,Payroll,0,12940.73,CHK-001,-12940.73,42134.02
18-01-2019,Sales sweep deposit,3898.93,0,CHK-001,3898.93,46032.95
19-01-2019,Refunds / chargeback reversal,293.03,0,CHK-001,293.03,46325.98
22-01-2019,Sales sweep deposit,4852.55,0,CHK-001,4852.55,51178.53
25-01-2019,Sales sweep deposit,4060.39,0,CHK-001,4060.39,55238.92
28-01-2019,Inventory supplier payment,0,8132.31,CHK-001,-8132.31,47106.61
29-01-2019,Sales sweep deposit,4808.08,0,CHK-001,4808.08,51914.69
31-01-2019,Payroll,0,12248.04,CHK-001,-12248.04,39666.65
01-02-2019,Sales sweep deposit,4718.12,0,CHK-001,4718.12,44384.77
01-02-2019,Store & warehouse rent,0,18500,CHK-001,-18500,25884.77
05-02-2019,Sales sweep deposit,3926.54,0,CHK-001,3926.54,29811.31
08-02-2019,Sales sweep deposit,3889.36,0,CHK-001,3889.36,33700.67
12-02-2019,Sales sweep deposit,4159.1,0,CHK-001,4159.1,37859.77
14-02-2019,Payroll,0,11793.82,CHK-001,-11793.82,26065.95
15-02-2019,Inventory supplier payment,0,8060.68,CHK-001,-8060.68,18005.27
15-02-2019,Sales sweep deposit,3844.83,0,CHK-001,3844.83,21850.1
17-02-2019,Sales sweep deposit,4982.51,0,CHK-001,4982.51,26832.61
19-02-2019,Sales sweep deposit,4228.7,0,CHK-001,4228.7,31061.31
22-02-2019,Sales sweep deposit,3412.42,0,CHK-001,3412.42,34473.73
24-02-2019,Sales sweep deposit,4168.73,0,CHK-001,4168.73,38642.46
26-02-2019,Sales sweep deposit,3477.95,0,CHK-001,3477.95,42120.41
28-02-2019,Inventory supplier payment,0,8756.93,CHK-001,-8756.93,33363.48
28-02-2019,Payroll,0,12730.04,CHK-001,-12730.04,20633.44
28-02-2019,Refunds / chargeback reversal,70.54,0,CHK-001,70.54,20703.98
01-03-2019,Sales sweep deposit,4630.67,0,CHK-001,4630.67,25334.65
01-03-2019,Store & warehouse rent,0,18500,CHK-001,-18500,6834.65
03-03-2019,Sales sweep deposit,3363.99,0,CHK-001,3363.99,10198.64
05-03-2019,Sales sweep deposit,3438.21,0,CHK-001,3438.21,13636.85
08-03-2019,Sales sweep deposit,4287.55,0,CHK-001,4287.55,17924.4
