date,description,charge,payment,card_id,net_change,rolling_balance
01-01-2019,Software subscriptions,768.71,0,CC-001,768.71,768.71
03-01-2019,E-comm shipping labels,287.53,0,CC-001,287.53,1056.24
07-01-2019,E-comm shipping labels,188.86,0,CC-001,188.86,1245.1
09-01-2019,Office & packaging supplies,119.61,0,CC-001,119.61,1364.71
16-01-2019,Office & packaging supplies,376.3,0,CC-001,376.3,1741.01
17-01-2019,E-comm shipping labels,215.81,0,CC-001,215.81,1956.82
21-01-2019,E-comm shipping labels,409.86,0,CC-001,409.86,2366.68
24-01-2019,E-comm shipping labels,578.41,0,CC-001,578.41,2945.09
25-01-2019,Digital advertising spend,1462.73,0,CC-001,1462.73,4407.82
30-01-2019,Office & packaging supplies,101.26,0,CC-001,101.26,4509.08
31-01-2019,E-comm shipping labels,195.32,0,CC-001,195.32,4704.4
01-02-2019,Software subscriptions,904.14,0,CC-001,904.14,5608.54
04-02-2019,E-comm shipping labels,459.65,0,CC-001,459.65,6068.19
05-02-2019,Credit card payment,0,2949.32,CC-001,-2949.32,3118.87
06-02-2019,Office & packaging supplies,86.06,0,CC-001,86.06,3204.93
12-02-2019,Digital advertising spend,1322.59,0,CC-001,1322.59,4527.52
14-02-2019,E-comm shipping labels,467.94,0,CC-001,467.94,4995.46
18-02-2019,Digital advertising spend,1355.86,0,CC-001,1355.86,6351.32
20-02-2019,Credit card payment,0,2582.39,CC-001,-2582.39,3768.93
21-02-2019,E-comm shipping labels,468.48,0,CC-001,468.48,4237.41
25-02-2019,Digital advertising spend,753.67,0,CC-001,753.67,4991.08
25-02-2019,E-comm shipping labels,506.98,0,CC-001,506.98,5498.06
27-02-2019,Office & packaging supplies,404.24,0,CC-001,404.24,5902.3
28-02-2019,E-comm shipping labels,617.23,0,CC-001,617.23,6519.53
01-03-2019,Software subscriptions,449.58,0,CC-001,449.58,6969.11
04-03-2019,E-comm shipping labels,453.95,0,CC-001,453.95,7423.06
05-03-2019,Credit card payment,0,2786.28,CC-001,-2786.28,4636.78
06-03-2019,Office & packaging supplies,99.86,0,CC-001,99.86,4736.64
12-03-2019,Digital advertising spend,1814.71,0,CC-001,1814.71,6551.35
13-03-2019,Office & packaging supplies,435.38,0,CC-001,435.38,6986.73
18-03-2019,Digital advertising spend,2392.05,0,CC-001,2392.05,9378.78
18-03-2019,E-comm shipping labels,592.5,0,CC-001,592.5,9971.28
18-03-2019,Travel & meals,469.97,0,CC-001,469.97,10441.25
20-03-2019,Credit card payment,0,5327.28,CC-001,-5327.28,5113.97
21-03-2019,E-comm shipping labels,644.41,0,CC-001,644.41,5758.38
25-03-2019,Digital advertising spend,767.1,0,CC-001,767.1,6525.48
25-03-2019,E-comm shipping labels,164.08,0,CC-001,164.08,6689.56
27-03-2019,Office & packaging supplies,489.14,0,CC-001,489.14,7178.7
28-03-2019,E-comm shipping labels,195.73,0,CC-001,195.73,7374.43
01-04-2019,E-comm shipping labels,289.25,0,CC-001,289.25,7663.68
01-04-2019,Software subscriptions,689.03,0,CC-001,689.03,8352.71
02-04-2019,Travel & meals,353.69,0,CC-001,353.69,8706.4
03-04-2019,Office & packaging supplies,489.18,0,CC-001,489.18,9195.58
05-04-2019,Credit card payment,0,8324.15,CC-001,-8324.15,871.43
08-04-2019,E-comm shipping labels,223.48,0,CC-001,223.48,1094.91
08-04-2019,Travel & meals,1830.06,0,CC-001,1830.06,2924.97
12-04-2019,Digital advertising spend,2040.4,0,CC-001,2040.4,4965.37
15-04-2019,E-comm shipping labels,265.63,0,CC-001,265.63,5231
18-04-2019,Digital advertising spend,935.54,0,CC-001,935.54,6166.54
18-04-2019,E-comm shipping labels,510.28,0,CC-001,510.28,6676.82
22-04-2019,E-comm shipping labels,527.52,0,CC-001,527.52,7204.34
24-04-2019,Office & packaging supplies,86,0,CC-001,86,7290.34
25-04-2019,Digital advertising spend,662.55,0,CC-001,662.55,7952.89
25-04-2019,E-comm shipping labels,144.64,0,CC-001,144.64,8097.53
29-04-2019,E-comm shipping labels,644.96,0,CC-001,644.96,8742.49
01-05-2019,Software subscriptions,484.85,0,CC-001,484.85,9227.34
06-05-2019,E-comm shipping labels,560.93,0,CC-001,560.93,9788.27
07-05-2019,Travel & meals,833.5,0,CC-001,833.5,10621.77
08-05-2019,Office & packaging supplies,351.54,0,CC-001,351.54,10973.31
15-05-2019,Office & packaging supplies,435.48,0,CC-001,435.48,11408.79
16-05-2019,E-comm shipping labels,179.18,0,CC-001,179.18,11587.97
20-05-2019,Credit card payment,0,7452.47,CC-001,-7452.47,4135.5
20-05-2019,E-comm shipping labels,218.67,0,CC-001,218.67,4354.17
22-05-2019,Office & packaging supplies,341.46,0,CC-001,341.46,4695.63
27-05-2019,E-comm shipping labels,158.83,0,CC-001,158.83,4854.46
29-05-2019,Office & packaging supplies,170.37,0,CC-001,170.37,5024.83
30-05-2019,E-comm shipping labels,129.18,0,CC-001,129.18,5154.01
01-06-2019,Software subscriptions,455.76,0,CC-001,455.76,5609.77
03-06-2019,E-comm shipping labels,156.19,0,CC-001,156.19,5765.96
05-06-2019,Credit card payment,0,4808.72,CC-001,-4808.72,957.24
05-06-2019,Office & packaging supplies,135.47,0,CC-001,135.47,1092.71
06-06-2019,E-comm shipping labels,146.85,0,CC-001,146.85,1239.56
10-06-2019,E-comm shipping labels,502.22,0,CC-001,502.22,1741.78
12-06-2019,Digital advertising spend,2202.37,0,CC-001,2202.37,3944.15
12-06-2019,Office & packaging supplies,517.68,0,CC-001,517.68,4461.83
17-06-2019,E-comm shipping labels,240,0,CC-001,240,4701.83
18-06-2019,Digital advertising spend,723.46,0,CC-001,723.46,5425.29
19-06-2019,Office & packaging supplies,81.47,0,CC-001,81.47,5506.76
20-06-2019,Credit card payment,0,8312.44,CC-001,-8312.44,-2805.68
20-06-2019,E-comm shipping labels,396.41,0,CC-001,396.41,-2409.27
24-06-2019,E-comm shipping labels,568.16,0,CC-001,568.16,-1841.11
25-06-2019,Digital advertising spend,2179.28,0,CC-001,2179.28,338.17
26-06-2019,Office & packaging supplies,394.36,0,CC-001,394.36,732.53
01-07-2019,E-comm shipping labels,577.53,0,CC-001,577.53,1310.06
01-07-2019,Software subscriptions,350.98,0,CC-001,350.98,1661.04
03-07-2019,Office & packaging supplies,170.59,0,CC-001,170.59,1831.63
04-07-2019,E-comm shipping labels,325.74,0,CC-001,325.74,2157.37
05-07-2019,Credit card payment,0,2852.02,CC-001,-2852.02,-694.65
08-07-2019,E-comm shipping labels,243.26,0,CC-001,243.26,-451.39
12-07-2019,Digital advertising spend,1360.5,0,CC-001,1360.5,909.11
18-07-2019,Digital advertising spend,2372.76,0,CC-001,2372.76,3281.87
22-07-2019,E-comm shipping labels,469.36,0,CC-001,469.36,3751.23
24-07-2019,Office & packaging supplies,200.48,0,CC-001,200.48,3951.71
