customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,dataset
1,15-05-2019,YYC-DT,10,0.36,120.63,bookstore_customers
2,05-04-2020,YYC-DT,12,0.45,202.14,bookstore_customers
3,05-07-2024,YYC-NW,11,0.1,442.96,bookstore_customers
4,06-09-2022,YYC-DT,7,0.15,45.76,bookstore_customers
5,21-08-2023,YYC-DT,9,0.26,213.34,bookstore_customers
6,28-06-2023,YYC-NW,12,0.43,95.62,bookstore_customers
7,28-09-2019,YYC-DT,12,0.26,97.78,bookstore_customers
8,06-01-2020,YYC-DT,1,0.34,102.52,bookstore_customers
9,26-08-2020,YYC-DT,11,0.49,152.51,bookstore_customers
10,17-07-2022,YYC-SE,10,0.23,313.9,bookstore_customers
11,24-06-2023,YYC-DT,12,0.1,292.09,bookstore_customers
12,01-07-2023,YYC-NW,21,0.27,172.22,bookstore_customers
13,16-02-2024,YYC-DT,18,0.18,53.56,bookstore_customers
14,24-04-2024,YYC-NW,10,0.26,48.95,bookstore_customers
15,17-06-2022,YYC-DT,4,0.58,215.75,bookstore_customers
16,14-06-2020,YYC-DT,15,0.39,179.36,bookstore_customers
17,11-07-2022,YYC-DT,9,0.18,314.82,bookstore_customers
18,01-07-2019,YYC-DT,8,0.38,95.46,bookstore_customers
19,29-07-2024,YYC-NW,14,0.4,190.6,bookstore_customers
20,16-08-2021,YYC-SE,0,0.23,46.62,bookstore_customers
21,08-12-2019,YYC-SE,14,0.33,115.33,bookstore_customers
22,24-11-2019,YYC-DT,8,0.37,196.22,bookstore_customers
23,09-01-2022,YYC-DT,14,0.49,214.55,bookstore_customers
24,24-01-2019,YYC-DT,8,0.4,58.35,bookstore_customers
25,15-04-2019,YYC-NW,11,0.18,92.03,bookstore_customers
26,25-08-2023,YYC-NW,1,0.17,126.03,bookstore_customers
27,25-09-2023,YYC-DT,7,0.3,91.21,bookstore_customers
28,21-05-2024,YYC-NW,7,0.19,100.46,bookstore_customers
29,04-02-2022,YYC-NW,10,0.49,232.95,bookstore_customers
30,31-10-2021,YYC-DT,5,0.37,178.62,bookstore_customers
31,25-09-2021,YYC-SE,10,0.18,268.86,bookstore_customers
32,23-08-2019,YYC-DT,6,0.24,45.45,bookstore_customers
33,01-02-2022,YYC-NW,5,0.24,129.98,bookstore_customers
34,28-08-2023,YYC-SE,7,0.21,100.28,bookstore_customers
35,11-11-2021,YYC-DT,9,0.37,105.37,bookstore_customers
36,10-08-2022,YYC-DT,1,0.2,183.65,bookstore_customers
37,15-11-2022,YYC-NW,5,0.25,181.51,bookstore_customers
38,25-07-2022,YYC-SE,7,0.24,131.99,bookstore_customers
39,10-06-2022,YYC-NW,10,0.47,68.82,bookstore_customers
40,08-07-2022,YYC-DT,5,0.23,187.64,bookstore_customers
41,26-02-2022,YYC-DT,10,0.1,84.05,bookstore_customers
42,29-07-2024,YYC-NW,11,0.56,96.02,bookstore_customers
43,11-02-2022,YYC-SE,9,0.23,171.91,bookstore_customers
44,21-05-2019,YYC-DT,4,0.25,147.87,bookstore_customers
45,30-11-2021,YYC-SE,14,0.22,340.02,bookstore_customers
46,19-07-2022,YYC-DT,10,0.35,282.96,bookstore_customers
47,01-04-2019,YYC-DT,2,0.2,34.37,bookstore_customers
48,25-07-2024,YYC-DT,0,0.15,179.85,bookstore_customers
49,16-01-2019,YYC-NW,4,0.33,115.75,bookstore_customers
50,18-09-2023,YYC-DT,8,0.13,125.49,bookstore_customers
51,21-04-2021,YYC-NW,4,0.12,189.5,bookstore_customers
52,16-05-2023,YYC-DT,6,0.28,69.28,bookstore_customers
53,26-03-2023,YYC-NW,13,0.63,62.18,bookstore_customers
54,04-01-2022,YYC-SE,4,0.22,207.89,bookstore_customers
55,04-01-2019,YYC-NW,8,0.4,112.39,bookstore_customers
56,12-11-2021,YYC-DT,0,0.41,165.47,bookstore_customers
57,11-12-2021,YYC-NW,11,0.59,225.26,bookstore_customers
58,24-05-2019,YYC-DT,12,0.02,362.6,bookstore_customers
59,25-02-2022,YYC-DT,11,0.18,32.4,bookstore_customers
60,27-10-2020,YYC-DT,11,0.29,171.54,bookstore_customers
61,21-10-2020,YYC-DT,10,0.13,33.16,bookstore_customers
62,18-10-2021,YYC-DT,0,0.27,55.18,bookstore_customers
63,07-02-2019,YYC-NW,9,0.37,91.67,bookstore_customers
64,17-03-2019,YYC-DT,2,0.17,100.72,bookstore_customers
65,16-04-2023,YYC-DT,11,0.15,165.27,bookstore_customers
66,30-11-2020,YYC-DT,13,0.18,122.33,bookstore_customers
67,27-06-2020,YYC-NW,12,0.37,290.05,bookstore_customers
68,14-04-2022,YYC-NW,8,0.42,199.65,bookstore_customers
69,12-10-2020,YYC-NW,17,0.09,24.27,bookstore_customers
70,28-03-2022,YYC-DT,0,0.06,166.59,bookstore_customers
71,15-10-2020,YYC-DT,13,0.44,114.73,bookstore_customers
72,30-04-2023,YYC-DT,5,0.26,133.8,bookstore_customers
73,02-06-2019,YYC-SE,12,0.87,107.46,bookstore_customers
