customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating
1,08-06-2019,YYC-NW,18,0.25,62.7,08-06-2019,22-11-2019,Calgary NW,FALSE,84,6117.54,72.83,19,TRUE,Rude Staff,3.95
2,21-12-2023,YYC-NW,9,0.47,40.67,21-12-2023,16-12-2024,Calgary NW,FALSE,10,540.63,54.06,10,TRUE,Damaged Book,3.08
3,10-03-2021,ONLINE,3,0.25,220.5,10-03-2021,10-01-2022,Online,FALSE,9,616.4,68.49,3,FALSE,None,4.38
4,13-08-2021,ONLINE,15,0.43,466.8,13-08-2021,03-11-2023,Online,FALSE,48,2125.24,44.28,14,TRUE,Late Delivery,3.53
5,12-02-2024,YYC-NW,2,0.25,179.24,12-02-2024,01-09-2024,Calgary NW,FALSE,1,36.92,36.92,1,FALSE,None,3.41
6,18-04-2024,YYC-NW,8,0.26,115.9,18-04-2024,16-10-2024,Calgary NW,FALSE,5,214.42,42.88,8,TRUE,Rude Staff,4.13
7,17-11-2019,YYC-SE,18,0.18,266.92,17-11-2019,16-03-2022,Calgary SE,FALSE,73,1843.39,25.25,15,TRUE,Damaged Book,3.51
8,23-06-2019,YYC-NW,5,0.2,355.06,23-06-2019,27-10-2022,Calgary NW,FALSE,24,695.07,28.96,4,FALSE,None,3.88
9,22-03-2021,YYC-NW,15,0.34,142.81,22-03-2021,07-06-2022,Calgary NW,FALSE,43,2937.53,68.31,9,TRUE,Damaged Book,3.71
10,17-02-2020,YYC-DT,14,0.2,150.97,17-02-2020,12-12-2021,Calgary Downtown,FALSE,56,4013.58,71.67,16,TRUE,Website Issue,3.98
11,06-07-2022,YYC-NW,5,0.24,88.16,06-07-2022,14-05-2024,Calgary NW,TRUE,12,468.7,39.06,5,TRUE,Rude Staff,4.46
12,04-12-2024,YYC-NW,4,0.08,244.97,04-12-2024,13-04-2024,Calgary NW,FALSE,1,26.54,26.54,4,FALSE,None,4.18
13,29-10-2022,YYC-DT,18,0.2,257.67,29-10-2022,15-02-2023,Calgary Downtown,FALSE,42,2410.63,57.4,9,TRUE,Late Delivery,3.44
14,26-03-2020,YYC-DT,18,0.31,291.2,26-03-2020,13-04-2021,Calgary Downtown,FALSE,65,5373.65,82.67,21,TRUE,Damaged Book,3.12
15,09-03-2019,YYC-DT,7,0.15,63.1,09-03-2019,08-03-2020,Calgary Downtown,TRUE,37,1982.19,53.57,7,TRUE,Website Issue,4.15
16,06-09-2021,YYC-DT,3,0.32,72.62,06-09-2021,01-12-2024,Calgary Downtown,FALSE,8,497.16,62.14,3,FALSE,None,4.43
17,12-05-2024,ONLINE,19,0.05,103.9,12-05-2024,25-12-2024,Online,FALSE,13,870.83,66.99,10,FALSE,None,4.17
18,16-11-2023,ONLINE,2,0.1,91.48,16-11-2023,27-08-2024,Online,FALSE,2,65.71,32.85,2,TRUE,Late Delivery,3.18
19,09-12-2020,YYC-NW,8,0.43,224.45,09-12-2020,14-09-2023,Calgary NW,FALSE,22,1580.46,71.84,8,FALSE,None,4.07
20,18-06-2020,YYC-NW,11,0.35,112.28,18-06-2020,18-01-2024,Calgary NW,FALSE,41,1319.07,32.17,7,FALSE,None,4.32
21,10-05-2023,YYC-NW,11,0.36,45.89,10-05-2023,15-12-2024,Calgary NW,FALSE,16,1492.52,93.28,11,FALSE,None,4.18
