customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating
1405,,YYC-SE,16,0,256,,29-08-2023,CALGARY SE,,76,6851.62,89.12,15,FALSE,none,3.8
6892,25-02-2023,yyc-dt,9,3.25,94.82,25-02-2023,12-04-2024,Calgary Downtown  ,FALSE,,908,64.92,8,FALSE,NONE,
7461,22-08-2022,yyc-nw,10,4.26,28.45,22-08-2022,13-08-2023,calgary nw,TRUE,25,2300.92,90.15,14,0,None,4.9
9324,10-12-2023,YYC-dt,,0,201,10-12-2023,23-10-2024,Calg Downtown,No,11,906.38,91.43,13,TRUE,,3.3
6675,27-11-2024,YYC NW,8,0,467.25,27-11-2024,01-01-2024,Calgary Nw,FALSE,2,46.82,46.76,5,No,NONE,3.5
10600,24-05-2020,YYC-DT,12,0,152.21,24-05-2020,16-10-2020,calgary downtown,FALSE,40,2966.71,77.88,12,Y,RudeStaff,2.9
271,,YYC-dt,19,2.28,92.57,28-05-2023,10-07-2024,Calg Downtown,0,31,2839.03,92,23,0,None,4.2
9953,16-12-2023,YYC-nw,8,,47.86,16-12-2023,29-08-2024,Calgary NW  ,FALSE,,531.07,75.24,10,TRUE,,3.7
9220,20-05-2020,YYC-DT ,13,,44.49,20-05-2020,03-05-2024,CALGARY DOWNTOWN,N,64,3780.97,122.85,14,N,None,4.3
2939,03-04-2022,ONLINE,10,1.72,126.39,,28-08-2023,online,No,,2216.76,83.05,9,FALSE,None,
8064,05-05-2024,YYC-DT,15,0,321.72,05-05-2024,,Calgary Downtown,FALSE,8,360.93,42.33,8,FALSE,NONE,3.3
2148,18-02-2021,YYC-SE,,0.66,225.18,18-02-2021,14-09-2023,Calgary SE,FALSE,52,3490.73,67.05,11,0,None,
9662,02-09-2022,YYC-dt,11,2.12,165.45,02-09-2022,12-02-2023,Calgary Downtown,N,23,1871.33,79.47,11,FALSE,None,4.6
249,20-10-2023,YYC-DT,10,0,67.93,20-10-2023,02-10-2024,Calgary Downtown,FALSE,14,791.94,53.26,11,N,none,4
8807,15-09-2024,YYC-DT,4,0,91.59,15-09-2024,17-09-2024,Calgary Downtown,N,1,,30.93,6,0,None,3.9
5482,23-04-2021,YYC-NW,3,0.48,164.41,23-04-2021,08-08-2021,Calgary Nw,Y,7,,30.95,1,0,none,4.7
6064,,YYC-NW,10,0,139.8,29-01-2019,09-07-2021,CALGARY NW,FALSE,62,4953.1,81.35,5,No,,3.3
3119,,YYC-NW,9,1.28,167.73,28-08-2024,20-12-2024,calgary nw,Y,5,127.52,64.64,8,FALSE,None,4.4
3932,,yyc-dt,10,,120.1,05-06-2019,05-06-2021,calgary downtown,FALSE,52,3282.34,60.07,7,TRUE,Late Delivery,3.8
448,25-10-2023,YYC-DT,11,1.06,49,25-10-2023,28-12-2024,calgary downtown,Y,14,353.36,23.94,13,0,None,5.1
9354,29-06-2021,yyc-dt,18,0,157.54,29-06-2021,30-05-2022,calgary downtown,N,42,2514.99,56.47,14,,NONE,4.3
2437,10-01-2020,YYC-SE,19,,32.76,,24-10-2024,Calg SE,TRUE,89,3819.71,43.93,16,,None,5.2
6215,03-10-2024,YYC-DT,11,1.33,116.35,03-10-2024,10-04-2024,Calgary Downtown  ,No,3,120.95,42.77,15,FALSE,None,4.6
9537,08-07-2022,YYC NW,11,0.76,226.96,08-07-2022,08-08-2023,calgary nw,0,15,779.46,45.42,4,N,,5.7
8489,05-10-2024,YYC NW,11,0.04,120.57,05-10-2024,27-11-2024,CALGARY NW,0,3,194.65,68.19,6,,NONE,3.9
11225,16-04-2022,YYC-DT,17,,94.71,16-04-2022,08-04-2023,Calgary Downtown,No,35,1279.9,35.1,12,0,none,3.5
3589,04-03-2022,yyc-dt,6,0,267.45,04-03-2022,05-03-2023,Calgary Downtown,TRUE,10,842.32,89.89,6,FALSE,None ,4.3
