quarter_end,loan_name,loan_id,principal_outstanding,interest_accrued,repayment,dataset
30-03-2020,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-06-2020,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-09-2020,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-12-2020,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-03-2021,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-06-2021,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-09-2021,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-12-2021,Government Relief Loan,GOVT-CEBA,40000,0,0,bookstore_loans
30-03-2022,Government Relief Loan,GOVT-CEBA,40000,250,0,bookstore_loans
30-06-2022,Government Relief Loan,GOVT-CEBA,40000,250,0,bookstore_loans
30-09-2022,Government Relief Loan,GOVT-CEBA,40000,250,0,bookstore_loans
30-12-2022,Government Relief Loan,GOVT-CEBA,40000,250,0,bookstore_loans
30-03-2023,Government Relief Loan,GOVT-CEBA,40000,250,0,bookstore_loans
30-06-2023,Government Relief Loan,GOVT-CEBA,35393.58,250,4606.42,bookstore_loans
30-09-2023,Government Relief Loan,GOVT-CEBA,30612.12,221.21,4781.46,bookstore_loans
30-12-2023,Government Relief Loan,GOVT-CEBA,30612.12,191.33,0,bookstore_loans
30-03-2024,Government Relief Loan,GOVT-CEBA,25434.12,191.33,5178,bookstore_loans
30-06-2024,Government Relief Loan,GOVT-CEBA,25434.12,158.96,0,bookstore_loans
30-09-2024,Government Relief Loan,GOVT-CEBA,25434.12,158.96,0,bookstore_loans
30-12-2024,Government Relief Loan,GOVT-CEBA,17628.71,158.96,7805.41,bookstore_loans
30-03-2019,Business Line of Credit,LOC-001,10715.37,187.52,17187.85,bookstore_loans
30-06-2019,Business Line of Credit,LOC-001,2326.04,40.71,17245.21,bookstore_loans
30-09-2019,Business Line of Credit,LOC-001,0,0,19206.88,bookstore_loans
30-12-2019,Business Line of Credit,LOC-001,0,0,21753.93,bookstore_loans
30-03-2020,Business Line of Credit,LOC-001,15393.43,269.39,13342.21,bookstore_loans
30-06-2020,Business Line of Credit,LOC-001,16722.7,292.65,16802.95,bookstore_loans
30-09-2020,Business Line of Credit,LOC-001,5512.96,96.48,23546.66,bookstore_loans
30-12-2020,Business Line of Credit,LOC-001,14702.55,257.29,8336.41,bookstore_loans
30-03-2021,Business Line of Credit,LOC-001,30099.62,526.74,9383.03,bookstore_loans
30-06-2021,Business Line of Credit,LOC-001,24999.82,437.5,16257.44,bookstore_loans
30-09-2021,Business Line of Credit,LOC-001,31381.47,549.18,16391.25,bookstore_loans
30-12-2021,Business Line of Credit,LOC-001,46514.22,814,7310.48,bookstore_loans
30-03-2022,Business Line of Credit,LOC-001,52846.25,924.81,12140.37,bookstore_loans
30-06-2022,Business Line of Credit,LOC-001,76267.88,1334.69,5992.48,bookstore_loans
30-09-2022,Business Line of Credit,LOC-001,66993.11,1172.38,23837.24,bookstore_loans
30-12-2022,Business Line of Credit,LOC-001,75132,1314.81,21498.03,bookstore_loans
30-03-2023,Business Line of Credit,LOC-001,68576.86,1200.1,16227.1,bookstore_loans
30-06-2023,Business Line of Credit,LOC-001,64250.52,1124.38,21129.05,bookstore_loans
30-09-2023,Business Line of Credit,LOC-001,64518.47,1129.07,8942.58,bookstore_loans
30-12-2023,Business Line of Credit,LOC-001,75127.81,1314.74,8152.95,bookstore_loans
30-03-2024,Business Line of Credit,LOC-001,76952.2,1346.66,21415.34,bookstore_loans
30-06-2024,Business Line of Credit,LOC-001,86645.97,1516.3,13805.67,bookstore_loans
30-09-2024,Business Line of Credit,LOC-001,106216.78,1858.79,7753.72,bookstore_loans
30-12-2024,Business Line of Credit,LOC-001,105153.44,1840.19,14790.79,bookstore_loans
